INFO 2024-06-07 11:14:06,173 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\Lib\weakref.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1717478779.624604
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\Lib\unittest\main.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1717478785.7824266
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\db\backends\mysql\features.py first seen with mtime 1717478785.6345923
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\Lib\asyncio\selector_events.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\Lib\asyncio\format_helpers.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1717478785.4271102
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\urls\utils.py first seen with mtime 1717478786.3700202
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\Lib\asyncio\transports.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1717478783.0539231
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\settings.py first seen with mtime 1717548420.3231053
DEBUG 2024-06-07 11:14:06,310 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1717478786.307585
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1717478786.4012704
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\Python311\Lib\asyncio\runners.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1717478785.8900037
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\Python311\Lib\email\_encoded_words.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\Python311\Lib\asyncio\windows_events.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1717478785.4740026
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\Python311\Lib\concurrent\futures\_base.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1717478542.5443738
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1717478786.245011
DEBUG 2024-06-07 11:14:06,311 autoreload File C:\Python311\Lib\gettext.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,312 autoreload File C:\Python311\Lib\pathlib.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,312 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1717478785.858663
DEBUG 2024-06-07 11:14:06,312 autoreload File C:\Python311\Lib\asyncio\base_events.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,312 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1717478786.519058
DEBUG 2024-06-07 11:14:06,312 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\panels\history\views.py first seen with mtime 1717548420.4858515
DEBUG 2024-06-07 11:14:06,313 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\panels\templates\panel.py first seen with mtime 1717548420.5014918
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1717478782.287958
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\Python311\Lib\asyncio\__init__.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\Python311\Lib\_markupbase.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\Python311\Lib\email\contentmanager.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\panels\history\panel.py first seen with mtime 1717548420.4858515
DEBUG 2024-06-07 11:14:06,314 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\panels\settings.py first seen with mtime 1717548420.4702415
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\Python311\Lib\email\feedparser.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\Python311\Lib\asyncio\base_subprocess.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\MySQLdb\times.py first seen with mtime 1717480889.3619578
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1717478781.9355452
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1717478785.4583924
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\Python311\Lib\pkgutil.py first seen with mtime 1675760062.0
DEBUG 2024-06-07 11:14:06,315 autoreload File C:\Python311\Lib\typing.py first seen with mtime 1675760062.0
